link,h_hacinamiento
60280101,20
60280102,16
60280103,17
60280104,5
60280105,1
60280106,6
60280107,15
60280108,28
60280109,13
60280110,5
60280111,6
60280112,3
60280113,14
60280114,8
60280115,7
60280201,37
60280202,31
60280203,34
60280204,34
60280205,37
60280206,14
60280207,12
60280208,26
60280301,12
60280302,31
60280303,61
60280304,39
60280305,72
60280306,33
60280307,69
60280308,44
60280309,18
60280310,14
60280311,11
60280312,21
60280401,47
60280402,37
60280403,35
60280404,32
60280405,52
60280406,47
60280407,45
60280408,41
60280409,59
60280410,14
60280411,28
60280412,20
60280501,2
60280502,1
60280503,0
60280504,11
60280505,2
60280506,9
60280507,5
60280508,8
60280509,4
60280510,9
60280511,21
60280512,1
60280513,18
60280601,8
60280602,23
60280603,17
60280604,66
60280605,26
60280606,20
60280607,21
60280608,7
60280609,4
60280610,70
60280611,16
60280612,14
60280613,1
60280614,48
60280615,75
60280701,49
60280702,36
60280703,28
60280704,19
60280705,19
60280706,5
60280707,37
60280708,17
60280709,18
60280710,8
60280711,18
60280801,7
60280802,4
60280803,1
60280804,3
60280805,20
60280806,0
60280807,9
60280808,11
60280809,2
60280810,11
60280811,8
60280812,1
60280813,0
60280901,27
60280902,18
60280903,12
60280904,23
60280905,4
60280906,11
60280907,12
60280908,11
60280909,18
60281001,5
60281002,3
60281003,11
60281004,2
60281005,3
60281006,14
60281007,17
60281008,12
60281009,7
60281010,8
60281011,14
60281012,12
60281013,35
60281014,19
60281015,11
60281016,4
60281017,4
60281101,14
60281102,17
60281103,7
60281104,1
60281105,2
60281106,0
60281107,0
60281108,0
60281109,1
60281110,9
60281111,12
60281112,3
60281113,3
60281201,2
60281202,1
60281203,0
60281204,0
60281205,0
60281206,0
60281207,1
60281208,0
60281209,0
60281210,4
60281211,0
60281301,5
60281302,1
60281303,14
60281304,14
60281305,8
60281306,12
60281307,11
60281308,16
60281309,10
60281310,2
60281311,13
60281312,3
60281313,3
60281401,20
60281402,16
60281403,17
60281404,19
60281405,21
60281406,34
60281407,19
60281408,7
60281409,5
60281410,12
60281501,20
60281502,7
60281503,12
60281504,18
60281505,17
60281506,6
60281507,11
60281508,5
60281509,7
60281510,14
60281511,10
60281512,8
60281601,9
60281602,0
60281603,4
60281604,3
60281605,4
60281606,1
60281607,4
60281608,6
60281701,1
60281702,1
60281703,0
60281704,1
60281705,2
60281706,5
60281707,5
60281708,8
60281709,3
60281801,2
60281802,2
60281803,22
60281804,14
60281805,11
60281806,23
60281807,31
60281808,26
