link,h_nbi
60280101,59
60280102,60
60280103,39
60280104,10
60280105,2
60280106,20
60280107,36
60280108,58
60280109,49
60280110,7
60280111,24
60280112,19
60280113,18
60280114,31
60280115,20
60280201,101
60280202,64
60280203,70
60280204,82
60280205,81
60280206,43
60280207,41
60280208,60
60280301,51
60280302,71
60280303,137
60280304,69
60280305,164
60280306,71
60280307,137
60280308,83
60280309,35
60280310,40
60280311,32
60280312,42
60280401,85
60280402,85
60280403,86
60280404,68
60280405,91
60280406,94
60280407,102
60280408,80
60280409,103
60280410,40
60280411,60
60280412,43
60280501,2
60280502,2
60280503,0
60280504,32
60280505,6
60280506,22
60280507,13
60280508,15
60280509,12
60280510,13
60280511,46
60280512,3
60280513,39
60280601,28
60280602,41
60280603,63
60280604,166
60280605,93
60280606,53
60280607,58
60280608,34
60280609,8
60280610,163
60280611,39
60280612,47
60280613,2
60280614,131
60280615,218
60280701,131
60280702,103
60280703,69
60280704,37
60280705,55
60280706,18
60280707,93
60280708,34
60280709,33
60280710,17
60280711,48
60280801,17
60280802,10
60280803,2
60280804,9
60280805,37
60280806,10
60280807,21
60280808,36
60280809,5
60280810,31
60280811,18
60280812,1
60280813,4
60280901,56
60280902,40
60280903,25
60280904,82
60280905,8
60280906,17
60280907,37
60280908,32
60280909,34
60281001,20
60281002,8
60281003,21
60281004,20
60281005,25
60281006,28
60281007,38
60281008,28
60281009,29
60281010,36
60281011,25
60281012,37
60281013,79
60281014,31
60281015,21
60281016,12
60281017,11
60281101,27
60281102,24
60281103,18
60281104,4
60281105,12
60281106,1
60281107,0
60281108,0
60281109,4
60281110,16
60281111,36
60281112,9
60281113,8
60281201,39
60281202,1
60281203,3
60281204,0
60281205,1
60281206,0
60281207,1
60281208,2
60281209,2
60281210,8
60281211,0
60281301,13
60281302,9
60281303,29
60281304,37
60281305,31
60281306,27
60281307,28
60281308,38
60281309,41
60281310,13
60281311,27
60281312,6
60281313,9
60281401,48
60281402,62
60281403,37
60281404,61
60281405,38
60281406,77
60281407,52
60281408,26
60281409,29
60281410,44
60281501,37
60281502,21
60281503,30
60281504,35
60281505,44
60281506,13
60281507,22
60281508,13
60281509,24
60281510,41
60281511,24
60281512,40
60281601,10
60281602,2
60281603,5
60281604,10
60281605,5
60281606,5
60281607,7
60281608,7
60281701,3
60281702,31
60281703,0
60281704,5
60281705,5
60281706,7
60281707,40
60281708,16
60281709,5
60281801,8
60281802,3
60281803,43
60281804,34
60281805,21
60281806,65
60281807,76
60281808,58
60281809,41
60281810,51
60281811,2
60281901,4
60281902,13
60281903,14
60281904,48
60281905,72
60281906,36
60281907,218
60281908,46
60281909,6
60281910,9
60281911,66
60281912,45
60281913,88
60282001,18
60282002,8
60282003,30
60282004,136
60282005,107
60282006,43
60282007,74
60282008,40
60282009,45
60282010,82
60282011,74
60282012,44
60282013,83
60282014,52
60282015,81
60282101,15
60282102,23
60282103,59
60282104,7
60282105,16
60282106,0
60282107,13
60282108,30
60282109,57
60282110,39
60282111,28
60282112,30
60282113,20
60282201,3
60282202,18
60282203,30
60282204,21
60282205,77
60282206,48
60282207,30
60282208,22
60282209,38
60282210,40
60282211,20
60282212,10
60282213,16
60282214,16
60282215,7
60282216,50
60282217,23
60282218,17
60282301,21
60282302,21
60282303,7
60282304,6
60282305,2
60282306,1
60282307,5
60282308,2
60282309,9
60282310,3
60282311,4
60282312,3
60282313,3
60282401,5
60282402,37
60282403,3
60282404,0
60282405,11
60282406,7
60282407,9
60282408,5
60282409,3
60282501,2
60282502,0
60282503,1
60282504,1
60282505,0
60282506,4
60282507,0
60282508,0
60282509,0
60282510,6
60282511,0
60282512,4
60282513,3
60282601,1
60282602,0
60282603,6
60282604,0
60282605,0
60282606,29
60282607,35
60282608,1
60282609,1
60282610,33
60282611,9
60282612,9
60282701,1
60282702,15
60282703,93
60282704,5
60282705,7
60282706,80
60282707,32
60282708,44
60282709,1
60282710,8
60282711,3
60282712,3
60282713,3
60282801,15
60282802,17
60282803,33
60282804,70
60282805,50
60282806,46
60282807,15
60282808,26
60282809,38
60282810,49
60282811,28
60282901,35
60282902,9
60282903,17
60282904,18
60282905,32
60282906,27
60282907,30
60282908,34
60282909,22
60282910,38
60282911,37
60282912,46
60282913,21
60283001,26
60283002,25
60283003,39
60283004,53
60283005,20
60283006,27
60283007,76
60283008,107
60283009,65
60283010,86
60283011,44
60283012,20
60283013,23
60283014,35
60283015,29
60283016,32
60283017,2
60283101,3
60283102,4
60283103,4
60283104,2
60283105,4
60283106,5
60283107,80
60283108,25
60283109,34
60283110,23
60283111,22
60283112,5
60283201,11
60283202,1
60283203,4
60283204,4
60283205,4
60283206,2
60283207,13
60283208,28
60283209,14
60283301,258
60283302,13
60283303,32
60283304,14
60283305,2
60283306,1
60283307,53
60283308,42
60283309,6
60283310,2
60283311,8
60283312,32
60283313,46
60283314,142
60283401,11
60283402,22
60283403,12
60283404,39
60283405,23
60283406,9
60283407,8
60283408,2
60283409,6
60283410,6
60283411,11
60283412,12
60283501,56
60283502,61
60283503,45
60283504,17
60283505,70
60283506,47
60283507,50
60283508,16
60283509,66
60283601,22
60283602,0
60283603,1
60283604,24
60283605,45
60283606,62
60283607,16
60283608,2
60283609,20
60283610,38
60283611,50
60283612,175
60283613,315
60283614,102
60283615,51
60283701,13
60283702,20
60283703,32
60283704,24
60283705,42
60283706,53
60283707,37
60283708,35
60283709,10
60283710,50
60283711,49
60283712,43
60283713,46
60283714,37
60283801,114
60283802,60
60283803,40
60283804,34
60283805,10
60283806,9
60283807,15
60283808,14
60283809,20
60283810,22
60283811,20
60283812,34
60283901,53
60283902,48
60283903,59
60283904,65
60283905,71
60283906,71
60283907,77
60283908,36
60283909,67
60283910,49
60283911,134
60283912,79
60283913,68
60283914,20
60283915,30
60350101,216
60350102,46
60350103,20
60350104,31
60350105,10
60350106,38
60350107,27
60350108,33
60350109,38
60350110,43
60350111,48
60350201,100
60350202,49
60350203,81
60350301,15
60350302,30
60350303,25
60350304,2
60350305,0
60350306,0
60350307,2
60350308,7
60350309,0
60350310,0
60350311,4
60350312,15
60350313,13
60350314,3
60350315,4
60350401,48
60350402,11
60350403,33
60350404,50
60350405,11
60350406,10
60350407,13
60350408,21
60350409,25
60350410,5
60350411,9
60350412,3
60350413,3
60350414,0
60350415,1
60350501,19
60350502,1
60350503,0
60350504,17
60350505,196
60350506,58
60350507,35
60350508,8
60350509,6
60350510,5
