"link","area"
60280101,"AMBA"
60280102,"AMBA"
60280103,"AMBA"
60280104,"AMBA"
60280105,"AMBA"
60280106,"AMBA"
60280107,"AMBA"
60280108,"AMBA"
60280109,"AMBA"
60280110,"AMBA"
60280111,"AMBA"
60280112,"AMBA"
60280113,"AMBA"
60280114,"AMBA"
60280115,"AMBA"
60280201,"AMBA"
60280202,"AMBA"
60280203,"AMBA"
60280204,"AMBA"
60280205,"AMBA"
60280206,"AMBA"
60280207,"AMBA"
60280208,"AMBA"
60280301,"AMBA"
60280302,"AMBA"
60280303,"AMBA"
60280304,"AMBA"
60280305,"AMBA"
60280306,"AMBA"
60280307,"AMBA"
60280308,"AMBA"
60280309,"AMBA"
60280310,"AMBA"
60280311,"AMBA"
60280312,"AMBA"
60280401,"AMBA"
60280402,"AMBA"
60280403,"AMBA"
60280404,"AMBA"
60280405,"AMBA"
60280406,"AMBA"
60280407,"AMBA"
60280408,"AMBA"
60280409,"AMBA"
60280410,"AMBA"
60280411,"AMBA"
60280412,"AMBA"
60280501,"AMBA"
60280502,"AMBA"
60280503,"AMBA"
60280504,"AMBA"
60280505,"AMBA"
60280506,"AMBA"
60280507,"AMBA"
60280508,"AMBA"
60280509,"AMBA"
60280510,"AMBA"
60280511,"AMBA"
60280512,"AMBA"
60280513,"AMBA"
60280601,"AMBA"
60280602,"AMBA"
60280603,"AMBA"
60280604,"AMBA"
60280605,"AMBA"
60280606,"AMBA"
60280607,"AMBA"
60280608,"AMBA"
60280609,"AMBA"
60280610,"AMBA"
60280611,"AMBA"
60280612,"AMBA"
60280613,"AMBA"
60280614,"AMBA"
60280615,"AMBA"
60280701,"AMBA"
60280702,"AMBA"
60280703,"AMBA"
60280704,"AMBA"
60280705,"AMBA"
60280706,"AMBA"
60280707,"AMBA"
60280708,"AMBA"
60280709,"AMBA"
60280710,"AMBA"
60280711,"AMBA"
60280801,"AMBA"
60280802,"AMBA"
60280803,"AMBA"
60280804,"AMBA"
60280805,"AMBA"
60280806,"AMBA"
60280807,"AMBA"
60280808,"AMBA"
60280809,"AMBA"
60280810,"AMBA"
60280811,"AMBA"
60280812,"AMBA"
60280813,"AMBA"
60280901,"AMBA"
60280902,"AMBA"
60280903,"AMBA"
60280904,"AMBA"
60280905,"AMBA"
60280906,"AMBA"
60280907,"AMBA"
60280908,"AMBA"
60280909,"AMBA"
60281001,"AMBA"
60281002,"AMBA"
60281003,"AMBA"
60281004,"AMBA"
60281005,"AMBA"
60281006,"AMBA"
60281007,"AMBA"
60281008,"AMBA"
60281009,"AMBA"
60281010,"AMBA"
60281011,"AMBA"
60281012,"AMBA"
60281013,"AMBA"
60281014,"AMBA"
60281015,"AMBA"
60281016,"AMBA"
60281017,"AMBA"
60281101,"AMBA"
60281102,"AMBA"
60281103,"AMBA"
60281104,"AMBA"
60281105,"AMBA"
60281106,"AMBA"
60281107,"AMBA"
60281108,"AMBA"
60281109,"AMBA"
60281110,"AMBA"
60281111,"AMBA"
60281112,"AMBA"
60281113,"AMBA"
60281201,"AMBA"
60281202,"AMBA"
60281203,"AMBA"
60281204,"AMBA"
60281205,"AMBA"
60281206,"AMBA"
60281207,"AMBA"
60281208,"AMBA"
60281209,"AMBA"
60281210,"AMBA"
60281211,"AMBA"
60281301,"AMBA"
60281302,"AMBA"
60281303,"AMBA"
60281304,"AMBA"
60281305,"AMBA"
60281306,"AMBA"
60281307,"AMBA"
60281308,"AMBA"
60281309,"AMBA"
60281310,"AMBA"
60281311,"AMBA"
60281312,"AMBA"
60281313,"AMBA"
60281401,"AMBA"
60281402,"AMBA"
60281403,"AMBA"
60281404,"AMBA"
