link,p_analfabeto
20010101,18
20010201,37
20010202,38
20010203,28
20010204,41
20010205,19
20010206,69
20010207,27
20010208,38
20010209,37
20010210,17
20010211,37
20010212,90
20010213,31
20010214,35
20010215,51
20010216,66
20010217,56
20010218,46
20010219,18
20010301,61
20010302,39
20010303,56
20010304,27
20010305,143
20010306,81
20010307,25
20010308,65
20010309,73
20010310,59
20010311,56
20010312,43
20010313,28
20010314,41
20010315,67
20010316,47
20010317,39
20010318,67
20010319,73
20010320,38
20010321,24
20010322,60
20010323,69
20010401,34
20010402,23
20010403,23
20010404,37
20010405,42
20010406,21
20010407,50
20010408,23
20010501,21
20010502,7
20010503,20
20010504,33
20010505,13
20010506,24
20010507,21
20010601,20
20010602,11
20010603,12
20010604,12
20010605,7
20010606,8
20010607,5
20010608,17
20010609,30
20010610,10
20010701,8
20010702,5
20010703,5
20010704,11
20010705,4
20010706,4
20010707,7
20010708,7
20010709,3
20010710,4
20010711,1
20010712,3
20010713,6
20010801,5
20010802,18
20010803,12
20010804,7
20010805,7
20010806,26
20010807,25
20010808,11
20010809,21
20010810,6
20010901,4
20010902,5
20010903,10
20010904,6
20010905,15
20010906,7
20010907,11
20010908,4
20010909,10
20010910,2
20010911,4
20010912,3
20010913,32
20010914,2
20010915,2
20010916,13
20010917,5
20010918,10
20010919,3
20011001,3
20011002,5
20011003,27
20011004,6
20011005,17
20011006,9
20011007,4
20011008,7
20011009,8
20011010,24
20011011,13
20011012,7
20011013,7
20011014,5
20011101,2
20011102,7
20011103,17
20011104,15
20011105,11
20011106,10
20011107,8
20011108,12
20011109,9
20011110,13
20011111,6
20011112,19
20011113,14
20011114,9
20011201,5
20011202,3
20011203,13
20011204,7
20011205,18
20011206,14
20011207,24
20011208,1
20011209,27
20011210,4
20011211,7
20011212,7
20011301,11
20011302,3
20011303,0
20011304,21
20011305,5
20011306,4
20011307,11
20011308,4
20011309,11
20011310,19
20011311,10
20011312,9
20011313,10
20011314,135
20011315,0
20011401,11
20011402,28
20011403,16
20011404,3
20011405,13
20011406,29
20011407,17
20011408,16
20011409,13
20011410,9
20011411,10
20011412,9
20011501,7
20011502,13
20011503,7
20011504,17
20011505,12
20011506,25
20011507,11
20011508,37
20011509,35
20011510,9
20011511,21
20011601,6
20011602,12
20011603,16
20011604,12
20011605,25
20011606,19
20011607,22
20011608,16
20011609,9
20011610,17
20011611,10
20011612,11
20011701,26
20011702,19
20011703,21
20011704,7
20011705,19
20011706,17
20011707,17
20011708,16
20011709,16
20011710,15
20011711,14
20011801,21
20011802,21
20011803,19
20011804,23
20011805,17
20011806,29
20011807,23
20011808,19
20011809,14
20011901,30
20011902,25
20011903,10
20011904,18
20011905,14
20011906,9
20011907,19
20011908,18
20011909,8
20012001,22
20012002,20
20012003,12
20012004,21
20012005,13
20012006,19
20012007,15
20012008,14
20012009,19
20012010,48
20012101,13
20012102,25
20012103,11
20012104,40
20012105,26
20012106,15
20012107,29
20012108,20
20012109,15
20012110,25
20012201,18
20012202,15
20012203,26
20012204,10
20012205,6
20012206,16
20012207,14
20012208,10
20012209,23
20012210,47
20012301,14
20012302,10
20012303,14
20012304,16
20012305,11
20012306,6
20012307,19
20012308,19
20012309,22
20012310,11
20012401,4
20012402,1
20012403,13
20012404,9
20012405,15
20012406,15
20012407,8
20012408,13
20012501,18
20012502,10
20012503,13
20012504,31
20012505,12
20012506,18
20012507,10
20012508,20
20012509,38
20012510,14
20012511,11
20012601,11
20012602,17
20012603,13
20012604,12
20012605,29
20012606,15
20012607,8
20012608,15
20012609,18
20012701,18
20012702,35
20012703,35
20012704,32
20012705,23
20012706,30
20012707,42
20012708,23
20012709,22
20012710,3
20012801,12
20012802,39
20012803,35
20012804,17
20012805,24
20012806,26
20012807,33
20012808,6
20012809,22
20012810,40
20012811,34
20012812,20
20012813,29
20012901,44
20012902,36
20012903,38
20012904,28
20012905,30
20012906,33
20012907,19
20012908,29
20012909,34
20020101,4
20020102,37
20020201,13
20020202,23
20020203,9
20020204,16
20020205,8
20020206,12
20020207,8
20020208,15
20020301,13
20020302,11
20020303,2
20020304,7
20020305,18
20020306,10
20020307,17
20020308,15
20020401,33
20020402,4
20020403,1
20020404,11
20020405,19
20020406,5
20020407,6
20020408,19
20020409,15
20020410,18
20020501,15
20020502,31
20020503,12
20020504,13
20020505,20
