"link","argentino","otro_pais"
60280101,1220,88
60280102,1113,100
60280103,1154,60
60280104,938,47
60280105,593,21
60280106,842,42
60280107,1205,87
60280108,1591,61
60280109,1549,67
60280110,667,46
60280111,1181,65
60280112,974,41
60280113,914,37
60280114,1045,48
60280115,1305,78
60280201,1604,81
60280202,1372,55
60280203,1596,39
60280204,1664,90
60280205,1111,78
60280206,1275,70
60280207,1113,56
60280208,1149,95
60280301,1569,69
60280302,1502,111
60280303,1983,105
60280304,857,30
60280305,1699,93
60280306,838,33
60280307,1390,111
60280308,1868,87
60280309,1003,70
60280310,977,57
60280311,855,35
60280312,998,44
60280401,1646,229
60280402,1383,50
60280403,1523,102
60280404,1314,51
60280405,1411,89
60280406,1609,77
60280407,1570,90
60280408,1539,81
60280409,1776,74
60280410,1354,67
60280411,1415,56
60280412,1642,83
60280501,66,6
60280502,95,1
60280503,43,0
60280504,1061,48
60280505,93,5
60280506,683,35
60280507,410,20
60280508,253,26
60280509,231,8
60280510,245,4
60280511,1203,51
60280512,125,7
60280513,1274,82
60280601,1159,85
60280602,2186,124
60280603,1449,84
60280604,4005,285
60280605,1951,64
60280606,1819,73
60280607,1389,77
60280608,790,43
60280609,1118,27
60280610,3607,174
60280611,1043,60
60280612,966,45
60280613,761,20
60280614,2722,139
60280615,3859,188
60280701,2338,106
60280702,1943,90
60280703,2055,108
60280704,1406,69
60280705,1465,62
60280706,1393,57
60280707,2328,115
60280708,1081,35
60280709,1278,73
60280710,1055,54
60280711,1520,77
60280801,364,18
60280802,280,7
60280803,83,2
60280804,225,13
60280805,1205,72
60280806,891,38
60280807,890,48
60280808,1021,78
60280809,112,2
60280810,1564,61
60280811,1346,59
60280812,998,49
60280813,972,56
60280901,1574,68
60280902,1199,83
60280903,981,81
60280904,1860,90
60280905,1036,50
60280906,1151,78
60280907,1178,67
60280908,1257,68
60280909,1577,77
60281001,770,35
60281002,673,52
60281003,1065,69
60281004,759,37
60281005,858,35
60281006,972,51
60281007,1221,117
60281008,1441,68
60281009,1011,24
60281010,1048,80
60281011,1090,46
60281012,1064,45
60281013,1934,65
60281014,1242,41
60281015,943,53
60281016,955,61
60281017,780,43
60281101,1016,58
60281102,940,37
60281103,797,46
60281104,670,36
60281105,691,46
60281106,589,33
60281107,599,27
60281108,380,29
60281109,1410,50
60281110,1370,83
60281111,1612,47
60281112,828,48
60281113,715,38
60281201,1136,71
60281202,908,35
60281203,1183,48
60281204,845,28
60281205,926,34
60281206,532,25
60281207,715,25
60281208,862,29
60281209,969,27
60281210,1373,58
60281211,1120,41
60281301,1259,73
60281302,752,37
60281303,908,48
60281304,1592,59
60281305,1031,43
60281306,1036,35
60281307,977,26
60281308,1224,87
60281309,1155,78
60281310,1127,50
60281311,1155,63
60281312,875,36
60281313,728,32
60281401,1508,38
60281402,1091,42
60281403,1615,72
60281404,1578,63
60281405,1405,48
60281406,1638,62
60281407,1624,73
60281408,1026,42
60281409,918,31
60281410,1210,48
60281501,927,34
60281502,843,39
60281503,923,42
60281504,1042,50
60281505,1047,60
60281506,854,36
60281507,1319,77
60281508,722,51
60281509,1721,92
60281510,1278,58
60281511,714,33
60281512,997,34
60281601,857,34
60281602,1459,54
60281603,1982,77
60281604,1065,56
60281605,1119,54
60281606,1499,71
60281607,809,28
60281608,876,38
60281701,756,21
60281702,1130,31
60281703,602,17
60281704,832,35
60281705,897,19
60281706,1532,56
60281707,1047,19
60281708,1385,27
60281709,868,29
60281801,1466,30
60281802,911,28
60281803,1621,75
60281804,850,49
60281805,818,55
60281806,1692,106
60281807,1198,114
60281808,1687,70
60281809,1156,66
60281810,1159,48
60281811,855,25
60281901,1234,35
60281902,1042,36
60281903,1507,27
60281904,1413,62
60281905,583,64
60281906,299,23
60281907,813,98
60281908,1171,92
60281909,1416,53
60281910,622,60
60281911,1409,73
60281912,1144,41
60281913,705,72
60282001,1258,67
60282002,1289,21
60282003,722,28
60282004,1979,76
60282005,1289,306
60282006,1409,36
60282007,1047,157
60282008,1184,66
60282009,1083,95
60282010,1297,95
60282011,1057,92
60282012,607,119
60282013,1314,296
60282014,1237,123
60282015,1298,183
60282101,660,20
60282102,743,48
60282103,1264,57
60282104,707,41
60282105,948,44
60282106,553,30
60282107,999,35
60282108,1095,43
60282109,1254,68
60282110,931,32
60282111,1105,49
60282112,1058,25
60282113,851,39
60282201,419,24
60282202,871,53
60282203,1104,108
60282204,870,63
60282205,1579,142
60282206,1431,84
60282207,672,34
60282208,807,49
60282209,1267,84
60282210,1726,61
60282211,846,33
60282212,723,43
60282213,847,36
60282214,840,27
60282215,734,36
60282216,1828,77
60282217,690,36
60282218,732,33
60282301,1332,55
60282302,1352,63
60282303,755,39
60282304,1032,66
60282305,684,22
60282306,855,44
60282307,881,35
60282308,604,36
60282309,847,40
60282310,786,36
60282311,701,31
60282312,628,28
60282313,578,34
60282401,1125,59
60282402,1401,70
60282403,864,38
60282404,846,55
60282405,1588,63
60282406,1027,44
60282407,1133,50
60282408,905,38
60282409,899,36
60282501,726,20
60282502,870,35
60282503,324,9
60282504,309,17
60282505,920,31
60282506,1039,42
60282507,554,32
60282508,513,19
60282509,552,19
60282510,1082,40
60282511,1087,47
60282512,816,30
60282513,821,28
60282601,428,19
60282602,367,18
60282603,875,44
60282604,572,42
60282605,612,40
60282606,729,28
60282607,586,19
60282608,458,20
60282609,830,34
60282610,611,28
60282611,474,24
60282612,427,28
60282701,621,37
60282702,893,50
60282703,1301,268
60282704,895,58
60282705,789,48
60282706,1120,377
60282707,527,56
60282708,1406,114
60282709,422,10
60282710,454,22
60282711,664,40
60282712,870,32
60282713,925,60
60282801,1030,74
60282802,789,41
60282803,1300,53
60282804,1206,94
60282805,1518,91
60282806,1906,49
60282807,1178,68
60282808,834,44
60282809,1252,39
60282810,1205,85
60282811,550,47
60282901,1193,76
60282902,690,19
60282903,944,51
60282904,967,64
60282905,921,32
60282906,894,70
60282907,1161,40
60282908,978,71
60282909,1048,76
60282910,909,30
60282911,1095,33
60282912,1079,28
60282913,917,31
60283001,850,41
60283002,806,34
60283003,781,38
60283004,1095,66
60283005,921,48
60283006,887,69
60283007,1347,76
60283008,1802,212
60283009,1244,74
60283010,1380,116
60283011,1012,59
60283012,957,53
60283013,837,18
60283014,1116,35
60283015,1075,20
60283016,1012,56
60283017,32,4
60283101,813,41
60283102,744,46
60283103,807,29
60283104,538,23
60283105,699,41
60283106,1165,63
60283107,1274,93
60283108,834,20
60283109,994,41
60283110,1423,43
60283111,1082,66
60283112,898,37
60283201,834,30
60283202,739,18
60283203,992,35
60283204,800,20
60283205,650,22
60283206,753,30
60283207,930,33
60283208,1244,57
60283209,1407,47
60283301,1695,425
60283302,1346,59
60283303,790,38
60283304,795,46
60283305,725,15
60283306,1,1
60283307,1357,142
60283308,1334,75
60283309,1051,50
60283310,790,40
60283311,1052,43
60283312,1161,63
60283313,1412,80
60283314,1688,231
60283401,939,31
60283402,1275,75
60283403,1273,46
60283404,1256,44
60283405,976,40
60283406,1104,41
60283407,675,33
60283408,924,24
60283409,1204,58
60283410,1010,51
60283411,956,41
60283412,1114,49
60283501,1340,71
60283502,1411,136
60283503,1238,84
60283504,1020,44
60283505,1749,132
60283506,1379,78
60283507,1573,73
60283508,1005,42
60283509,1627,74
60283601,673,35
60283602,474,15
60283603,723,44
60283604,1315,65
60283605,1543,52
60283606,1461,71
60283607,1378,39
60283608,836,41
60283609,921,28
60283610,1094,74
60283611,1185,46
60283612,961,489
60283613,793,335
60283614,1503,182
60283615,1695,121
60283701,1053,48
60283702,862,56
60283703,977,41
60283704,1136,28
60283705,1265,53
